"id","coin_id","symbol","name","price_usd","market_cap","volume_24h","timestamp"
1,bitcoin,btc,Bitcoin,105009,2087072749203,28266144032,2025-06-04 15:45:45.493 +0300
2,ethereum,eth,Ethereum,2624.56,316902810125,15239045711,2025-06-04 15:45:45.493 +0300
3,tether,usdt,Tether,1.0,153377158195,41036196023,2025-06-04 15:45:45.493 +0300
4,binancecoin,bnb,BNB,667.53,97388908131,606073963,2025-06-04 15:45:45.493 +0300
5,solana,sol,Solana,155.75,81378191951,3451824396,2025-06-04 15:45:45.493 +0300
6,dogecoin,doge,Dogecoin,0.193091,28876830206,824546036,2025-06-04 15:45:45.493 +0300
7,tron,trx,TRON,0.272087,25818042910,437340176,2025-06-04 15:45:45.493 +0300
8,cardano,ada,Cardano,0.690663,24936638256,488464559,2025-06-04 15:45:45.493 +0300
9,chainlink,link,Chainlink,14.14,9297604672,288920602,2025-06-04 15:45:45.493 +0300
10,avalanche-2,avax,Avalanche,20.98,8845310726,336944331,2025-06-04 15:45:45.493 +0300
11,stellar,xlm,Stellar,0.271703,8479760554,173746714,2025-06-04 15:45:45.493 +0300
12,litecoin,ltc,Litecoin,89.94,6828748613,284342728,2025-06-04 15:45:45.493 +0300
13,polkadot,dot,Polkadot,4.1,6248988420,171780192,2025-06-04 15:45:45.493 +0300
14,uniswap,uni,Uniswap,6.73,4040801278,487332686,2025-06-04 15:45:45.493 +0300
15,aptos,apt,Aptos,4.9,3090639957,122594927,2025-06-04 15:45:45.493 +0300
16,render-token,render,Render,3.91,2028277447,102473126,2025-06-04 15:45:45.493 +0300
17,bitcoin,btc,Bitcoin,105009,2087072749203,28266144032,2025-06-04 15:45:50.830 +0300
18,ethereum,eth,Ethereum,2624.56,316902810125,15239045711,2025-06-04 15:45:50.830 +0300
19,tether,usdt,Tether,1.0,153377158195,41036196023,2025-06-04 15:45:50.830 +0300
20,binancecoin,bnb,BNB,667.53,97388908131,606073963,2025-06-04 15:45:50.830 +0300
21,solana,sol,Solana,155.75,81378191951,3451824396,2025-06-04 15:45:50.830 +0300
22,dogecoin,doge,Dogecoin,0.193091,28876830206,824546036,2025-06-04 15:45:50.830 +0300
23,tron,trx,TRON,0.272087,25818042910,437340176,2025-06-04 15:45:50.830 +0300
24,cardano,ada,Cardano,0.690663,24936638256,488464559,2025-06-04 15:45:50.830 +0300
25,chainlink,link,Chainlink,14.14,9297604672,288920602,2025-06-04 15:45:50.830 +0300
26,avalanche-2,avax,Avalanche,20.98,8845310726,336944331,2025-06-04 15:45:50.830 +0300
27,stellar,xlm,Stellar,0.271703,8479760554,173746714,2025-06-04 15:45:50.830 +0300
28,litecoin,ltc,Litecoin,89.94,6828748613,284342728,2025-06-04 15:45:50.830 +0300
29,polkadot,dot,Polkadot,4.1,6248988420,171780192,2025-06-04 15:45:50.830 +0300
30,uniswap,uni,Uniswap,6.73,4040801278,487332686,2025-06-04 15:45:50.830 +0300
31,aptos,apt,Aptos,4.9,3090639957,122594927,2025-06-04 15:45:50.830 +0300
32,render-token,render,Render,3.91,2028277447,102473126,2025-06-04 15:45:50.830 +0300
33,bitcoin,btc,Bitcoin,105031,2086840332916,26012163517,2025-06-04 15:49:39.501 +0300
34,ethereum,eth,Ethereum,2624.77,316877828130,15238161443,2025-06-04 15:49:39.501 +0300
35,tether,usdt,Tether,1.0,153376781514,43334762173,2025-06-04 15:49:39.501 +0300
36,binancecoin,bnb,BNB,668.1,97468208544,435314636,2025-06-04 15:49:39.501 +0300
37,solana,sol,Solana,155.75,81383573517,3450353021,2025-06-04 15:49:39.501 +0300
38,dogecoin,doge,Dogecoin,0.193045,28866582806,824608365,2025-06-04 15:49:39.501 +0300
